month,n,avg_dep_delay,on_time_rate
2024-01,19169,16.11716834472325,0.7744796285669571
2024-02,19789,7.627722472080449,0.8487038253575219
2024-03,19731,12.730018752217322,0.7964117378744108
2024-04,19848,10.77962515114873,0.8135832325675131
2024-05,19739,18.251177871219415,0.7500379958457876
2024-06,19784,16.770319450060654,0.7562171451678124
2024-07,19476,22.670209488601355,0.7059971246662559
2024-08,19635,15.467838044308632,0.7765724471606824
2024-09,19798,6.955551065764219,0.8540256591574906
2024-10,19552,5.172412029459902,0.8717778232405892
2024-11,19838,5.843583022482105,0.8610747051114024
2024-12,19822,12.756129553021895,0.7938654020784986
